,seed,chances,rnd_1_lottery,rnd_2_lottery,rnd_3_lottery,rnd_4_lottery,rnd_5_lottery,rnd_6,rnd_7,rnd_8,rnd_9,rnd_10,rnd_11,rnd_12,rnd_13,rnd_14,rnd_15,rnd_16
0,1,114,0.114,0.110468165,0.10653733,0.102124487,0.097121517,0.4697485,0,0,0,0,0,0,0,0,0,0
1,2,113,0.113,0.109642934,0.105893194,0.10166736,0.096856303,0.273959687,0.198980523,0,0,0,0,0,0,0,0,0
2,3,112,0.112,0.108814836,0.105243858,0.101203348,0.096583301,0.14774426,0.254418021,0.073992375,0,0,0,0,0,0,0,0
3,4,111,0.111,0.107983883,0.10458932,0.100732414,0.096302424,0.071305985,0.229151741,0.155604727,0.023329507,0,0,0,0,0,0,0
4,5,99,0.099,0.097793116,0.096327735,0.094527742,0.092286209,0.029955433,0.178901736,0.225852659,0.07871453,0.006640841,0,0,0,0,0,0
5,6,89,0.089,0.088999317,0.088867429,0.088548323,0.087957413,0.007286135,0.103399999,0.247827887,0.163777979,0.032706894,0.001628625,0,0,0,0,0
6,7,79,0.079,0.079940956,0.080884114,0.081802914,0.082650324,0,0.035147981,0.200782567,0.252457099,0.095718294,0.011285822,0.00032993,0,0,0,0
7,8,69,0.069,0.070626558,0.072380312,0.074268997,0.076292792,0,0,0.095939785,0.28655237,0.205870698,0.045859965,0.003156441,5.21E-05,0,0,0
8,9,59,0.059,0.061064287,0.063360267,0.065929746,0.0688224,0,0,0,0.195168516,0.330166227,0.138035949,0.017764072,0.000682618,5.92E-06,0,0
9,10,49,0.049,0.05126196,0.053829626,0.056773594,0.060187367,0,0,0,0,0.328897047,0.31882601,0.075763309,0.005354113,0.000106539,4.36E-07,0
10,11,39,0.039,0.041227073,0.043795164,0.046793725,0.050346694,0,0,0,0,0,0.484363629,0.260173529,0.033103749,0.001185415,1.10E-05,1.64E-08
11,12,29,0.029,0.03096681,0.033264561,0.03598753,0.039269774,0,0,0,0,0,0,0.642812718,0.177445267,0.011070449,0.000182278,6.12E-07
12,13,19,0.019,0.020488064,0.022246213,0.024356069,0.026935671,0,0,0,0,0,0,0,0.783362173,0.100735516,0.002859243,1.71E-05
13,14,9,0.009,0.009797449,0.010749068,0.011903568,0.013332206,0,0,0,0,0,0,0,0,0.886896161,0.057687207,0.000634341
14,15,6,0.006,0.006549906,0.00720795,0.008008687,0.009002796,0,0,0,0,0,0,0,0,0,0.93925983,0.023970831
15,16,4,0.004,0.004374684,0.00482386,0.005371497,0.006052811,0,0,0,0,0,0,0,0,0,0,0.975377148
